"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         499,                 0,      -9.028787397,      -6.870088058,      -7.826913685,      -4.903667738,      -7.106453744,      -4.273841659
          1,           0,         499,             0.003,      -9.552291689,      -6.279014437,      -7.261012771,      -4.286647156,     -0.5696985476,       3.226859635
          2,           0,         499,             0.006,      -9.890772977,      -6.404574286,      -7.378144742,      -4.377529643,     -0.7870975672,       3.082349638
          3,           0,         499,             0.009,      -10.11664365,      -6.660591785,      -7.622210512,      -4.601869297,      -6.811730063,      -4.348083131
          4,           0,         499,             0.012,      -10.38702716,      -6.932182576,       -7.88833392,      -4.854439767,      -7.037345448,      -4.608119115
          5,           0,         499,             0.015,      -10.65055177,      -7.205359888,      -8.158796533,      -5.116900245,      -7.288592297,      -4.877039858
          6,           0,         499,             0.018,      -10.89661165,      -7.461041206,      -8.412894938,      -5.366440546,      -7.531594451,      -5.131158982
          7,           0,         499,             0.021,      -11.14834256,      -7.715954422,      -8.666869833,      -5.617808719,       -7.77913843,       -5.38504094
          8,           0,         499,             0.024,      -11.44571534,      -8.011818479,      -8.962255813,       -5.91179496,      -8.071234801,      -5.679882666
          9,           0,         499,             0.027,      -11.81213749,      -8.376852664,      -9.327067274,      -6.275988487,      -8.434662562,      -6.044353532
         10,           0,         499,              0.03,      -12.26634129,      -8.831273179,      -9.781395452,      -6.730133852,      -8.888477944,      -6.498624922
         11,           0,         499,             0.033,      -12.89436596,       -9.45891547,      -10.40899413,      -7.357685423,      -9.515997549,      -7.126191397
         12,           0,         487,             0.036,      -13.73508612,      -10.32947641,      -11.28175674,      -8.228953557,      -10.39263328,      -8.002475531
         13,           0,         499,             0.039,      -13.37366133,      -9.942438616,      -10.89250413,      -7.841324117,      -9.999584925,      -7.610208517
         14,           0,         499,             0.042,      -13.47877452,      -10.04446388,      -10.99441514,      -7.943217381,      -10.10172975,      -7.711960801
         15,           0,         499,             0.045,      -13.71875356,      -10.28421763,      -11.23386762,      -8.182676318,      -10.34152019,       -7.95166129
         16,           0,         471,             0.048,      -13.75782511,      -10.32482473,      -11.28142591,      -8.224353269,      -10.39830406,      -8.001000293
         17,           0,         434,             0.051,      -13.74837337,      -10.31778653,      -11.28653622,      -8.219263959,       -10.4163548,      -8.004748316
         18,           0,         393,             0.054,      -13.74001074,      -10.30956806,      -11.29700122,      -8.213848926,      -10.44121406,      -8.006189664
         19,           0,         345,             0.057,      -13.73477674,      -10.30119812,      -11.31954152,      -8.209096236,      -10.47848235,      -8.006087679
         20,           0,         281,              0.06,      -13.71924603,      -10.28021668,      -11.36009816,      -8.194687413,      -10.52677155,      -8.000526969
         21,           0,         194,             0.063,      -13.74237475,      -10.40637304,      -11.63240943,      -8.337285349,      -10.49799051,      -8.011727116
         22,           0,         173,             0.066,       -13.7827275,       -10.4998747,      -11.82511539,      -8.438842554,      -10.47610111,      -8.002743471
         23,           0,         183,             0.069,      -13.81712138,      -10.44862638,       -11.7139998,      -8.383339643,      -10.48068557,      -8.004261186
         24,           0,         175,             0.072,      -13.85390041,      -10.49065582,       -11.7710068,      -8.427748012,      -10.47077572,      -8.005142864
         25,           0,         161,             0.075,      -13.90165208,       -10.5615204,      -11.87527855,      -8.503637897,      -10.46330509,      -8.010950081
         26,           0,         142,             0.078,      -13.91854462,      -10.62976227,      -11.96471028,      -8.578519776,      -10.44501559,      -8.003964062
         27,           0,         121,             0.081,      -13.92047157,      -10.70439346,      -12.00970012,      -8.661299572,      -10.44716249,      -8.012696877
         28,           0,          97,             0.084,      -13.86406265,      -10.75809878,       -12.0232558,      -8.732712592,      -10.43557277,       -8.00613037
         29,           0,          71,             0.087,        -13.704603,      -10.79432033,      -12.00625484,      -8.787376569,      -10.45586965,      -8.011668988
         30,           0,          40,              0.09,      -13.44848002,       -10.6195406,      -11.52680314,      -8.476604417,      -10.35882441,      -8.016499216
         31,           0,           9,             0.093,      -13.04593029,       -10.0494737,      -10.67480193,      -7.635493002,      -10.24258878,      -8.051388011
