"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
         32,           0,          10,             0.096,      -13.00901878,      -10.16577684,      -10.74002614,      -7.649589692,      -9.916235683,      -8.093342704
         33,           0,          10,             0.099,      -13.04172945,       -10.1272455,      -10.73367661,      -7.636225358,      -9.937259701,      -8.062639529
         34,           0,           8,             0.102,       -13.0218708,      -10.09256189,      -10.76741764,      -7.567622819,      -9.974572367,      -8.005077014
         35,           0,           6,             0.105,      -13.04862698,      -10.11181156,      -10.81910055,      -7.587725513,       -10.0430329,      -8.051322865
         36,           0,           4,             0.108,      -13.08927519,      -10.13447807,      -10.84396593,      -7.631778372,      -10.10496297,      -8.070372055
         37,           0,           4,             0.111,      -13.28611691,      -10.25643696,      -10.97829722,      -7.817963958,      -10.21815381,      -8.191840778
         38,           0,           4,             0.114,      -13.44558985,      -10.35853214,       -11.0761201,      -7.975545688,      -10.30807095,      -8.289474964
         39,           0,           4,             0.117,      -13.57276697,      -10.45755474,       -11.1662266,      -8.107184724,      -10.38203064,      -8.356217952
         40,           0,           4,              0.12,      -13.67263083,      -10.55449451,      -11.25696864,      -8.214241787,      -10.44293701,      -8.405599106
         41,           0,           4,             0.123,      -13.76644877,      -10.65078332,      -11.36453428,      -8.314872879,      -10.49436476,      -8.451049037
         42,           0,           4,             0.126,       -13.8622865,      -10.74908525,      -11.47092793,      -8.418845177,      -10.53962154,      -8.493267785
         43,           0,           4,             0.129,      -13.97974392,      -10.84886584,      -11.56642583,      -8.537284026,      -10.58176476,      -8.530028853
         44,           0,           4,             0.132,      -14.10251113,      -10.94802191,       -11.6636487,      -8.657894338,      -10.62340454,      -8.565161993
         45,           0,           4,             0.135,      -14.22136505,      -11.04253362,      -11.77698778,      -8.761975984,      -10.66664288,      -8.600453806
         46,           0,           4,             0.138,      -14.32055369,      -11.13283863,      -11.91435198,      -8.858216917,      -10.71306951,      -8.637718908
         47,           0,           4,             0.141,      -14.44885827,       -11.2178262,      -12.04227769,      -8.965410052,      -10.76385474,      -8.676626199
         48,           0,           4,             0.144,      -14.55451167,      -11.29738238,      -12.16677646,      -9.067425068,      -10.81945313,      -8.717547215
         49,           0,           4,             0.147,      -14.65424345,      -11.36951431,      -12.28039064,      -9.150879235,      -10.88019781,      -8.761308134
