"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
         17,           0,         499,             0.051,      -12.83572765,      -10.74515355,      -11.75862902,       -8.68490221,       -10.3361043,      -7.849291894
         18,           0,         499,             0.054,      -12.84676061,      -10.81624761,      -11.83081452,      -8.765703798,      -10.35570784,      -7.867661227
         19,           0,         499,             0.057,      -12.87347436,      -10.83797532,      -11.85238228,      -8.786042997,      -10.38074847,      -7.892964782
         20,           0,         499,              0.06,      -12.91705747,       -10.8383373,      -11.85165096,      -8.776711085,      -10.41778559,      -7.931460858
         21,           0,         499,             0.063,      -12.98053296,      -10.82809863,      -11.83614715,      -8.758370507,      -10.46907009,      -7.985754741
         22,           0,         495,             0.066,      -13.01491638,      -10.77308715,      -11.77166804,      -8.695077813,      -10.48491419,      -8.006450944
         23,           0,         487,             0.069,      -13.03397265,      -10.68413553,      -11.67490389,      -8.598444888,       -10.4746964,      -8.004296949
         24,           0,         476,             0.072,      -13.08711232,      -10.57577062,      -11.55668679,      -8.484971313,      -10.46615937,         -8.011945
         25,           0,         457,             0.075,      -13.25768653,      -10.39986815,      -11.37267593,      -8.304039698,      -10.42151308,      -8.002567731
         26,           0,         454,             0.078,      -13.27260015,      -10.37450622,      -11.33138909,      -8.274561572,      -10.43318304,      -8.006392252
         27,           0,         472,             0.081,      -13.04839037,      -10.55108204,      -11.48944413,       -8.44989323,      -10.46671733,      -8.004624963
         28,           0,         484,             0.084,      -12.99852838,      -10.68068581,      -11.60637593,      -8.580570514,       -10.4750298,      -8.000463469
         29,           0,         493,             0.087,      -12.98830693,      -10.79170472,      -11.70884882,      -8.694712883,      -10.48832288,      -8.008194865
         30,           0,         499,              0.09,        -12.978541,       -10.8791904,      -11.79295965,      -8.787999494,      -10.49103462,      -8.007340781
         31,           0,         499,             0.093,      -12.91312542,      -10.89600339,       -11.8161638,      -8.821226374,      -10.43263926,      -7.945465735
         32,           0,         499,             0.096,      -12.86814389,      -10.90417908,      -11.83952061,      -8.840637096,      -10.39074504,      -7.901758704
         33,           0,         499,             0.099,      -12.84020556,      -10.90272004,      -11.85860656,      -8.856356688,      -10.36380343,      -7.873844256
         34,           0,         499,             0.102,      -12.82789828,      -10.89534824,      -11.87127005,      -8.854838608,      -10.35053605,      -7.859258102
         35,           0,         499,             0.105,        -12.830749,      -10.87579233,      -11.87588394,      -8.832882396,      -10.35000781,      -7.858331762
         36,           0,         499,             0.108,      -12.84987112,      -10.85886011,      -11.86888964,      -8.815436609,      -10.36707853,      -7.875432638
         37,           0,         499,             0.111,      -12.88758106,      -10.84213287,      -11.85251866,      -8.784553771,      -10.40010567,      -7.908377646
         38,           0,         499,             0.114,      -12.94842127,       -10.8261502,      -11.83255176,      -8.756834303,      -10.45226133,      -7.962929965
         39,           0,         496,             0.117,      -12.99967183,      -10.78072734,      -11.77699483,      -8.703605635,      -10.48660916,      -8.001760691
         40,           0,         488,              0.12,      -13.03247188,        -10.690916,       -11.6775867,      -8.605304476,      -10.48826781,      -8.012149011
         41,           0,         474,             0.123,      -13.08677629,      -10.55107807,      -11.52903285,      -8.459423254,      -10.46572289,      -8.009484249
         42,           0,         452,             0.126,      -13.47140872,      -10.34192672,      -11.31162447,      -8.244770298,      -10.41407633,      -8.004705385
         43,           0,         463,             0.129,      -13.10946876,       -10.4391277,      -11.38932823,      -8.338621046,      -10.44878768,      -8.005913813
         44,           0,         480,             0.132,      -13.00533846,       -10.6020221,      -11.53632865,      -8.501313048,      -10.47087523,      -8.003919394
         45,           0,         491,             0.135,      -12.98229371,      -10.72133601,      -11.64457291,      -8.622294499,      -10.48306671,      -8.006616911
         46,           0,         498,             0.138,      -12.96965821,      -10.81410221,      -11.73082635,      -8.719446845,      -10.48546497,      -8.003433479
         47,           0,         499,             0.141,      -12.91218692,      -10.85064883,      -11.76778949,       -8.76408555,      -10.43533892,      -7.948063339
         48,           0,         499,             0.144,      -12.86701293,      -10.88192929,      -11.80871465,      -8.814328036,      -10.39328261,      -7.904429962
         49,           0,         499,             0.147,      -12.84205397,      -10.90159549,      -11.84829114,      -8.852775718,      -10.36765563,      -7.877182495
         50,           0,         499,              0.15,       -12.8337929,      -10.90116067,      -11.87226847,       -8.86260578,      -10.35594672,       -7.86521066
         51,           0,         499,             0.153,      -12.84062751,      -10.89178461,      -11.88557186,      -8.853950371,      -10.35965457,      -7.869862552
         52,           0,         499,             0.156,      -12.86257191,      -10.87709805,      -11.88573408,      -8.831644804,      -10.37606368,      -7.887045326
         53,           0,         499,             0.159,      -12.90046828,      -10.85725328,       -11.8708636,      -8.801600597,      -10.40615817,      -7.918648229
         54,           0,         499,             0.162,      -12.95686713,      -10.83657045,      -11.84642405,      -8.770445762,      -10.45094693,       -7.96619457
         55,           0,         497,             0.165,      -13.00914891,      -10.79738698,      -11.79924055,       -8.72169104,      -10.48589589,      -8.005626239
         56,           0,         490,             0.168,      -13.02635157,      -10.71443879,      -11.70783069,      -8.631586791,       -10.4783056,      -8.004784233
         57,           0,         480,             0.171,      -13.06125557,      -10.61261967,      -11.59692697,      -8.522792684,      -10.46709895,      -8.006144839
         58,           0,         464,             0.174,      -13.15760764,      -10.46297318,       -11.4387915,      -8.368709406,      -10.43587313,      -8.002315326
         59,           0,         449,             0.177,      -13.59658701,      -10.32637492,      -11.29054972,      -8.227712369,      -10.41232902,      -8.003467737
         60,           0,         467,              0.18,      -13.08790187,      -10.50053793,      -11.44408361,      -8.399323041,      -10.46364313,      -8.009698782
         61,           0,         481,             0.183,      -13.01647714,      -10.64611481,      -11.57574168,      -8.545516104,      -10.47908716,      -8.007969732
         62,           0,         490,             0.186,      -12.98593066,      -10.75338908,      -11.67259658,      -8.655411882,      -10.48003026,      -8.001222537
         63,           0,         497,             0.189,      -12.97826342,      -10.84925807,      -11.76176885,      -8.755326042,       -10.4874574,       -8.00468187
         64,           0,         499,             0.192,      -12.93240342,       -10.8911705,      -11.80818694,      -8.809917135,       -10.4501712,      -7.963918109
         65,           0,         499,             0.195,      -12.88111234,      -10.90247493,      -11.83126496,      -8.833328033,      -10.40298982,      -7.914481648
         66,           0,         499,             0.198,      -12.84774493,       -10.9043107,      -11.85268807,      -8.855585857,      -10.37118313,      -7.881470038
         67,           0,         499,             0.201,      -12.83023679,      -10.89712873,      -11.86796083,      -8.853254243,       -10.3538651,      -7.863537786
         68,           0,         499,             0.204,      -12.82809745,      -10.88402561,      -11.87629287,      -8.846123508,      -10.34850986,      -7.856742702
         69,           0,         499,             0.207,      -12.84155354,      -10.86427953,      -11.87093557,      -8.820411062,      -10.35955199,      -7.867852235
         70,           0,         499,              0.21,       -12.8727734,       -10.8470198,      -11.85959275,      -8.795012482,      -10.38699844,      -7.895852365
         71,           0,         499,             0.213,      -12.92517715,      -10.83114149,      -11.83932295,      -8.767524334,      -10.43278898,      -7.942478206
         72,           0,         499,             0.216,      -13.00577467,       -10.8163084,      -11.81540546,       -8.74206967,      -10.49847267,      -8.012080943
         73,           0,         491,             0.219,       -13.0185534,      -10.72336134,      -11.71384634,      -8.640097532,      -10.48779649,      -8.007956932
         74,           0,         479,             0.222,      -13.05460216,      -10.59981395,      -11.58093212,      -8.510121548,      -10.47000676,      -8.004820787
         75,           0,         460,             0.225,      -13.22675383,      -10.41766524,      -11.38998805,      -8.322133876,      -10.43649345,      -8.009371973
         76,           0,         456,             0.228,      -13.23445889,      -10.37468044,      -11.33172677,      -8.274900134,      -10.43546261,      -8.009233251
         77,           0,         475,             0.231,      -13.02091195,      -10.55235797,      -11.49143226,       -8.45159164,       -10.4637679,      -8.001818057
         78,           0,         488,             0.234,      -12.98955783,      -10.68654695,      -11.61332271,      -8.586385882,      -10.48212212,      -8.008164921
         79,           0,         496,             0.237,      -12.97341181,      -10.78527236,      -11.70378756,      -8.689185497,       -10.4853886,      -8.004954723
         80,           0,         499,              0.24,      -12.93261565,      -10.84165594,       -11.7584558,      -8.753216885,      -10.45421525,      -7.968576705
         81,           0,         499,             0.243,      -12.87956729,      -10.87072135,      -11.79271597,      -8.795119372,      -10.40564821,      -7.917640273
         82,           0,         499,             0.246,      -12.84842993,       -10.8991913,      -11.83952454,      -8.843931915,      -10.37486955,       -7.88468261
         83,           0,         499,             0.249,      -12.83482369,      -10.90224873,      -11.86467966,      -8.860539249,      -10.35821322,      -7.867461685
         84,           0,         499,             0.252,      -12.83664861,      -10.89521526,       -11.8811708,       -8.85758907,       -10.3572074,      -7.867300232
         85,           0,         499,             0.255,      -12.85355459,      -10.88285182,      -11.88524575,      -8.843076909,      -10.36909357,      -7.879747047
         86,           0,         499,             0.258,      -12.88595841,      -10.86428237,      -11.87756944,      -8.814673496,      -10.39455118,       -7.90643549
         87,           0,         499,             0.261,      -12.93578858,      -10.84342133,      -11.85492236,      -8.783618243,      -10.43428758,      -7.948451345
         88,           0,         499,             0.264,      -13.00706226,      -10.82391467,      -11.82789761,      -8.749291142,      -10.48978079,      -8.007990577
         89,           0,         493,             0.267,       -13.0249772,      -10.74762185,      -11.74320642,       -8.66651081,      -10.48624355,      -8.010146306
         90,           0,         484,              0.27,      -13.04940112,      -10.65193073,       -11.6391063,      -8.565028036,      -10.47429321,      -8.008212658
         91,           0,         470,             0.273,      -13.10585018,      -10.51811992,      -11.49694392,      -8.425657326,      -10.44629608,      -8.000994856
         92,           0,         451,             0.276,      -13.51665567,      -10.34461472,      -11.31388986,      -8.247223085,       -10.4125711,      -8.007010402
         93,           0,         460,             0.279,      -13.13711519,      -10.43223064,      -11.38227218,      -8.331584946,      -10.44366698,      -8.000023492
         94,           0,         477,             0.282,      -13.03163234,      -10.60283659,      -11.53639277,       -8.50118143,      -10.47595407,      -8.008756445
         95,           0,         488,             0.285,      -13.00273004,      -10.72695078,      -11.64903962,      -8.627410291,      -10.48848991,      -8.012130926
         96,           0,         495,             0.288,       -12.9813489,      -10.82011895,      -11.73489685,      -8.726001984,      -10.48648893,       -8.00486623
         97,           0,         499,             0.291,      -12.95414452,      -10.88554747,      -11.80066092,      -8.798167073,      -10.46961676,      -7.984510748
         98,           0,         499,             0.294,      -12.89607919,      -10.89983022,      -11.82471974,      -8.828676417,       -10.4169334,      -7.929017574
         99,           0,         499,             0.297,      -12.85704402,      -10.90482052,       -11.8469378,      -8.850256324,      -10.38016324,      -7.890756355
