"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         499,                 0,      -9.229307553,      -6.879413936,      -7.827245389,      -4.909603995,      -7.095469852,      -4.269377236
          1,           0,         499,             0.003,      -9.553875434,      -6.277498508,      -7.256577643,       -4.28182372,     -0.5737973573,       3.226833064
          2,           0,         499,             0.006,      -9.891866823,      -6.405278745,      -7.378548233,      -4.378075458,     -0.7775009689,       3.082392848
          3,           0,         499,             0.009,       -10.1187203,      -6.661177337,      -7.622637775,       -4.60238228,      -6.809832122,      -4.346838543
          4,           0,         499,             0.012,      -10.38957879,      -6.932708352,      -7.888767698,      -4.854922609,      -7.037463897,      -4.608089833
          5,           0,         499,             0.015,      -10.65298046,       -7.20574313,      -8.159164001,      -5.117264345,      -7.288626745,      -4.877154637
          6,           0,         499,             0.018,      -10.89855535,      -7.461285303,      -8.413179776,      -5.366682691,      -7.531693867,      -5.131410526
          7,           0,         499,             0.021,      -11.15003896,      -7.716067071,      -8.667062632,      -5.617927949,      -7.778934206,      -5.385149743
          8,           0,         499,             0.024,      -11.44718854,        -8.0116175,      -8.962146959,       -5.91160088,      -8.070835685,      -5.679911074
          9,           0,         499,             0.027,      -11.81186238,      -8.375581441,      -9.325870499,      -6.274718656,      -8.433183002,      -6.043366092
         10,           0,         499,              0.03,       -12.2568322,      -8.826292901,      -9.776347007,      -6.725116189,      -8.883414674,      -6.494211939
         11,           0,         499,             0.033,      -12.80202061,      -9.437947956,      -10.38694441,      -7.336457153,      -9.495569216,      -7.107194182
         12,           0,         499,             0.036,       -13.0525128,       -10.6484344,      -11.62660435,      -8.558413121,      -10.47955371,      -8.008751732
         13,           0,         499,             0.039,      -12.95108934,      -9.990629824,      -10.94874644,      -7.891875612,      -10.01285148,       -7.60097246
         14,           0,         499,             0.042,      -12.89777129,      -10.08810142,      -11.05024666,       -7.99065249,      -10.08327436,      -7.658054231
         15,           0,         499,             0.045,      -12.86085125,      -10.31730113,      -11.29182833,      -8.225153604,      -10.21887261,      -7.765784307
         16,           0,         499,             0.048,      -12.84000887,      -10.57169114,      -11.56763264,      -8.492690091,      -10.30553186,      -7.828107472
